"Function","File"
"Get-ScapeActiveProfile","HardwareProfile.psm1"
"Get-ScapeStorageTuning","HardwareProfile.psm1"
"Test-ScapeResourcePressure","HardwareProfile.psm1"
"_GetRawI18NEntry","I18N.psm1"
"Get-ScapeI18NNode","I18N.psm1"
"Get-ScapeLogMsg","I18N.psm1"
"Format-ScapeMenuLine","I18N.psm1"
"Enable-ScapeVT100","Interop.psm1"
"Assert-ScapeCapability","Resolver.psm1"
"Resolve-ScapeModuleDiskPath","Resolver.psm1"
"Invoke-ScapeResolveModule","Resolver.psm1"
"Resolve-ScapeManifestLayer","Resolver.psm1"
"Invoke-ScapeWakeAssets","Resolver.psm1"
"Resolve-ScapeAsset","Resolver.psm1"
"Initialize-ScapeResolver","Resolver.psm1"
"Enable-ScapePrivilege","Security.psm1"
"Get-ScapeSettingsPath","Settings.psm1"
"Get-ScapeSettingDefault","Settings.psm1"
"Sync-ScapeThemeHydration","Settings.psm1"
"Set-ScapeSettingMutation","Settings.psm1"
"Reset-ScapeSettingToFactory","Settings.psm1"
"_LoadSettingsFromJson","Settings.psm1"
"Optimize-ScapeSettingsState","Settings.psm1"
"Initialize-ScapeState","State.psm1"
"Update-ScapeColdState","State.psm1"
"Get-ScapeColdState","State.psm1"
"Get-ScapeHotState","State.psm1"
"Get-ScapeRoot","State.psm1"
"Test-ScapeDevMode","State.psm1"
"Get-ScapeManifest","State.psm1"
"Invoke-ScapeIO","Utils.psm1"
"Get-ScapeProperty","Utils.psm1"
"Format-ScapeByte","Utils.psm1"
"ConvertTo-ScapeHex","Utils.psm1"
"ConvertTo-ScapeHexString","Utils.psm1"
"Convert-ScapeHexToByte","Utils.psm1"
"Test-ScapeAlignment","Utils.psm1"
"Invoke-ScapeMathClamp","Utils.psm1"
"Join-ScapePath","Utils.psm1"
"Test-ScapePath","Utils.psm1"
"Invoke-ScapeI18NFormat","Utils.psm1"
"Format-ScapeTemplate","Utils.psm1"
"Get-ScapeUtcTimestamp","Utils.psm1"
"Convert-ScapeSeverityToInt","Utils.psm1"
"Test-ScapeNullOrWhiteSpace","Utils.psm1"
"Start-ScapeUXSimulation","UXSimulator.psm1"
"Invoke-ScapeBinWrapper","BinWrappers.psm1"
"ConvertFrom-ScapeDiskpartOutput","BinWrappers.psm1"
"ConvertFrom-ScapeWinFROutput","BinWrappers.psm1"
"ConvertFrom-ScapeChkdskOutput","BinWrappers.psm1"
"ConvertFrom-ScapeFsutilOutput","BinWrappers.psm1"
"ConvertFrom-ScapeStordiagOutput","BinWrappers.psm1"
"Invoke-ScapeRobocopy","CloudSync.psm1"
"Get-ScapeSyncSpaceRequirement","CloudSync.psm1"
"Start-ScapeRobocopyConfiguration","CloudSync.psm1"
"Find-ScapeNetworkNode","Network.psm1"
"New-ScapeNetworkMount","Network.psm1"
"Remove-ScapeNetworkMount","Network.psm1"
"Clear-ScapeNetworkMounts","Network.psm1"
"Start-ScapeNetworkScan","Network.psm1"
"Invoke-ScapeNetworkRadarAction","Network.psm1"
"Invoke-ScapeNetworkAction","Network.psm1"
"Invoke-ScapeTargetedParsing","Core.psm1"
"Write-ScapeFragmentMap","FragmentDB.psm1"
"Write-ScapeShadowRecord","MetaDB.psm1"
"Resolve-ScapeShadowPath","MetaDB.psm1"
"Invoke-ThirdPartyTool","ThirdPartyTools.psm1"
"Resolve-ForgeMonolithPath","Build.psm1"
"Get-Msg","Build.psm1"
"Get-Clr","Build.psm1"
"Get-FileContent","Build.psm1"
"Resolve-ForgeModuleRelativePath","Build.psm1"
"Resolve-ForgeModuleFile","Build.psm1"
"Get-ModulePayloads","Build.psm1"
"Get-DataAssets","Build.psm1"
"Show-ManifestTree","Build.psm1"
"Write-Monolith","Build.psm1"
"Invoke-ScapeCompileExe","Compiler.psm1"
"Invoke-ScapeCompileInno","Compiler.psm1"
"Invoke-ScapeCompileMsi","Compiler.psm1"
"Expand-MonolithToDirectory","Deployer.psm1"
"Set-MainScript","Deployer.psm1"
"New-ScapeHandoverArgument","Deployer.psm1"
"Invoke-ScapeDeployWorkflow","Deployer.psm1"
"_ExecuteAtomicBuild","Deployer.psm1"
"Invoke-ScapeFetchDependencies","Packager.psm1"
"Initialize-ScapeAudit","Audit.psm1"
"Register-ScapeExtraction","Audit.psm1"
"New-ScapeAuditRecord","Audit.psm1"
"Export-ScapeAuditLedger","Audit.psm1"
"_VerifyLedgerChain","Audit.psm1"
"_ComputeHash","Audit.psm1"
"_FormatLogLine","Audit.psm1"
"Initialize-ScapeCompliance","Compliance.psm1"
"Get-DefaultHashAlgorithm","Compliance.psm1"
"Get-ScapeSegmentHash","Compliance.psm1"
"Test-ScapeSegmentIntegrity","Compliance.psm1"
"Test-ScapeModuleIntegrity","Compliance.psm1"
"Export-ScapeComplianceReport","Compliance.psm1"
